Si No,Volume ,V/ C Ratio,Speed
1143,1560,0.57,89.40
1144,1555,0.57,89.39
1145,1550,0.56,89.37
1146,1545,0.56,89.36
1147,1540,0.56,89.34
1148,1535,0.56,89.33
1149,1530,0.56,89.31
1150,1525,0.55,89.30
1151,1520,0.55,89.28
1152,1515,0.55,89.27
1153,1510,0.55,89.25
1154,1505,0.55,89.24
1155,1500,0.55,89.22
1156,1495,0.54,89.21
1157,1490,0.54,89.19
1158,1485,0.54,89.18
1159,1480,0.54,89.16
1160,1475,0.54,89.15
1161,1470,0.53,89.13
1162,1465,0.53,89.12
1163,1460,0.53,89.10
1164,1455,0.53,89.09
1165,1450,0.53,89.07
1166,1445,0.53,89.06
1167,1440,0.52,89.04
1168,1435,0.52,89.03
1169,1430,0.52,89.01
1170,1425,0.52,89.00
1171,1420,0.52,88.98
1172,1415,0.51,88.97
1173,1410,0.51,88.95
1174,1405,0.51,88.94
1175,1400,0.51,88.92
1176,1395,0.51,88.91
1177,1390,0.51,88.89
1178,1385,0.50,88.88
1179,1380,0.50,88.86
1180,1375,0.50,88.85
1181,1370,0.50,88.83
1182,1365,0.50,88.82
1183,1360,0.49,88.80
1184,1355,0.49,88.79
1185,1350,0.49,88.77
1186,1345,0.49,88.76
1187,1340,0.49,88.74
1188,1335,0.49,88.73
1189,1330,0.48,88.71
1190,1325,0.48,88.70
1191,1320,0.48,88.68
1192,1315,0.48,88.66
1193,1310,0.48,88.65
1194,1305,0.47,88.63
1195,1300,0.47,88.62
1196,1295,0.47,88.60
1197,1290,0.47,88.59
1198,1285,0.47,88.57
1199,1280,0.47,88.56
1200,1275,0.46,88.54
1201,1270,0.46,88.53
1202,1265,0.46,88.51
1203,1284,0.64,88.50
1204,1280,0.64,88.48
1205,1276,0.64,88.47
1206,1272,0.64,88.45
1207,1268,0.63,88.44
1208,1264,0.63,88.42
1209,1260,0.63,88.41
1210,1256,0.63,88.39
1211,1252,0.63,88.38
1212,1248,0.62,88.36
1213,1244,0.62,88.35
1214,1240,0.62,88.33
1215,1236,0.62,88.32
1216,1232,0.62,88.30
1217,1228,0.61,88.29
1218,1224,0.61,88.27
1219,1220,0.61,88.26
1220,1216,0.61,88.24
1221,1212,0.61,88.23
1222,1208,0.60,88.21
1223,1204,0.60,88.20
1224,1200,0.60,88.18
1225,1196,0.60,88.17
1226,1192,0.60,88.15
1227,1188,0.59,88.14
1228,1184,0.59,88.12
1229,1180,0.59,88.11
1230,1176,0.59,88.09
1231,1172,0.59,88.08
1232,1168,0.58,88.06
1233,1164,0.58,88.05
1234,1160,0.58,88.03
1235,1156,0.58,88.02
1236,1152,0.58,88.00
1237,1148,0.57,87.99
1238,1144,0.57,87.97
1239,1140,0.57,87.96
1240,1136,0.57,87.94
1241,1132,0.57,87.93
1242,1128,0.56,87.91
1243,1124,0.56,87.90
1244,1120,0.56,87.88
1245,1116,0.56,87.87
1246,1112,0.56,87.85
1247,1108,0.55,87.84
1248,1104,0.55,87.82
1249,1100,0.55,87.81
1250,1096,0.55,87.79
1251,1092,0.55,87.78
1252,1088,0.54,87.76
1253,1084,0.54,87.75
1254,1080,0.54,87.73
1255,1076,0.54,87.72
1256,1072,0.54,87.70
1257,1068,0.53,87.69
1258,1064,0.53,87.67
1259,1060,0.53,87.66
1260,1056,0.53,87.64
1261,1052,0.53,87.63
1262,1048,0.52,87.61
1263,1044,0.52,87.60
1264,1040,0.52,87.58
1265,1036,0.52,87.57
1266,1032,0.52,87.55
1267,1028,0.51,87.54
1268,1024,0.51,87.52
1269,1020,0.51,87.51
1270,1016,0.51,87.49
1271,1012,0.51,87.48
1272,1008,0.50,87.46
1273,1004,0.50,87.45
1274,1000,0.50,87.43
1275,996,0.50,87.42
1276,992,0.50,87.40
1277,988,0.49,87.39
1278,984,0.49,87.37
1279,980,0.49,87.36
1280,976,0.49,87.34
1281,972,0.49,87.33
1282,968,0.48,87.31
1283,964,0.48,87.30
1284,960,0.48,87.28
1285,956,0.48,87.27
1286,952,0.48,87.25
1287,948,0.47,87.24
1288,944,0.47,87.22
1289,940,0.47,87.21
1290,936,0.47,87.19
1291,932,0.47,87.18
1292,928,0.46,87.16
1293,924,0.46,87.15
1294,920,0.46,87.13
1295,916,0.46,87.12
1296,912,0.46,87.10
1297,908,0.45,87.09
1298,904,0.45,87.07
1299,900,0.45,87.06
1300,899,0.45,87.04
1301,898,0.45,87.03
1302,897,0.45,87.01
1303,965,0.64,87.00
1304,962,0.64,86.98
1305,959,0.64,86.97
1306,956,0.64,86.95
1307,953,0.64,86.94
1308,950,0.63,86.92
1309,947,0.63,86.91
1310,944,0.63,86.89
1311,941,0.63,86.88
1312,938,0.63,86.86
1313,935,0.62,86.85
1314,932,0.62,86.83
1315,929,0.62,86.82
1316,926,0.62,86.80
1317,923,0.62,86.79
1318,920,0.61,86.77
1319,917,0.61,86.76
1320,914,0.61,86.74
1321,911,0.61,86.73
1322,908,0.61,86.71
1323,905,0.60,86.70
1324,902,0.60,86.68
1325,899,0.60,86.67
1326,896,0.60,86.65
1327,893,0.60,86.64
1328,890,0.59,86.62
1329,887,0.59,86.61
1330,884,0.59,86.59
1331,881,0.59,86.58
1332,878,0.59,86.56
1333,875,0.58,86.55
1334,872,0.58,86.53
1335,869,0.58,86.52
1336,866,0.58,86.50
1337,863,0.58,86.49
1338,860,0.57,86.47
1339,857,0.57,86.46
1340,854,0.57,86.44
1341,851,0.57,86.43
1342,848,0.57,86.41
1343,845,0.56,86.40
1344,842,0.56,86.38
1345,839,0.56,86.37
1346,836,0.56,86.35
1347,833,0.56,86.34
1348,830,0.55,86.32
1349,827,0.55,86.31
1350,824,0.55,86.29
1351,821,0.55,86.28
1352,818,0.55,86.26
1353,815,0.54,86.25
1354,812,0.54,86.23
1355,809,0.54,86.22
1356,806,0.54,86.20
1357,803,0.54,86.19
1358,800,0.53,86.17
1359,797,0.53,86.16
1360,794,0.53,86.14
1361,791,0.53,86.13
1362,788,0.53,86.11
1363,785,0.52,86.10
1364,782,0.52,86.08
1365,779,0.52,86.07
1366,776,0.52,86.05
1367,773,0.52,86.04
1368,770,0.51,86.02
1369,767,0.51,86.01
1370,764,0.51,85.99
1371,761,0.51,85.98
1372,758,0.51,85.96
1373,755,0.50,85.95
1374,752,0.50,85.93
1375,749,0.50,85.92
1376,746,0.50,85.90
1377,743,0.50,85.89
1378,740,0.49,85.87
1379,737,0.49,85.86
1380,734,0.49,85.84
1381,731,0.49,85.83
1382,728,0.49,85.81
1383,725,0.48,85.80
1384,722,0.48,85.78
1385,719,0.48,85.77
1386,716,0.48,85.75
1387,713,0.48,85.74
1388,710,0.47,85.72
1389,707,0.47,85.71
1390,704,0.47,85.69
1391,701,0.47,85.68
1392,698,0.47,85.66
1393,695,0.46,85.65
1394,692,0.46,85.63
1395,689,0.46,85.62
1396,686,0.46,85.60
1397,683,0.46,85.59
1398,680,0.45,85.57
1399,677,0.45,85.56
1400,674,0.45,85.54
1401,671,0.45,85.53
1402,668,0.45,85.51
1403,864,0.64,85.50
1404,861,0.64,85.48
1405,858,0.64,85.47
1406,855,0.63,85.45
1407,852,0.63,85.44
1408,849,0.63,85.42
1409,846,0.63,85.41
1410,843,0.62,85.39
1411,840,0.62,85.38
1412,837,0.62,85.36
1413,834,0.62,85.35
1414,831,0.62,85.33
1415,828,0.61,85.32
1416,825,0.61,85.30
1417,822,0.61,85.29
1418,819,0.61,85.27
1419,816,0.60,85.26
1420,813,0.60,85.24
1421,810,0.60,85.23
1422,807,0.60,85.21
1423,804,0.60,85.20
1424,801,0.59,85.18
1425,798,0.59,85.17
1426,795,0.59,85.15
1427,792,0.59,85.14
1428,789,0.58,85.12
1429,786,0.58,85.11
1430,783,0.58,85.09
1431,780,0.58,85.08
1432,777,0.58,85.06
1433,774,0.57,85.05
1434,771,0.57,85.03
1435,768,0.57,85.02
1436,765,0.57,85.00
1437,762,0.56,84.99
1438,759,0.56,84.97
1439,756,0.56,84.96
1440,753,0.56,84.94
1441,750,0.56,84.93
1442,747,0.55,84.91
1443,744,0.55,84.90
1444,741,0.55,84.88
1445,738,0.55,84.87
1446,735,0.54,84.85
1447,732,0.54,84.84
1448,729,0.54,84.82
1449,726,0.54,84.81
1450,723,0.54,84.79
1451,720,0.53,84.78
1452,717,0.53,84.76
1453,714,0.53,84.75
1454,711,0.53,84.73
1455,708,0.52,84.72
1456,705,0.52,84.70
1457,702,0.52,84.69
1458,699,0.52,84.67
1459,696,0.52,84.66
1460,693,0.51,84.64
1461,690,0.51,84.63
1462,687,0.51,84.61
1463,684,0.51,84.60
1464,681,0.50,84.58
1465,678,0.50,84.57
1466,675,0.50,84.55
1467,672,0.50,84.54
1468,669,0.50,84.52
1469,666,0.49,84.51
1470,663,0.49,84.49
1471,660,0.49,84.48
1472,657,0.49,84.46
1473,654,0.48,84.45
1474,651,0.48,84.43
1475,648,0.48,84.42
1476,645,0.48,84.40
1477,642,0.48,84.39
1478,639,0.47,84.37
1479,636,0.47,84.36
1480,633,0.47,84.34
1481,630,0.47,84.33
1482,627,0.46,84.31
1483,624,0.46,84.30
1484,621,0.46,84.28
1485,618,0.46,84.27
1486,615,0.46,84.25
1487,612,0.45,84.24
1488,609,0.45,84.22
1489,606,0.45,84.21
1490,603,0.45,84.19
1491,620,0.46,84.18
1492,619,0.46,84.16
1493,618,0.46,84.15
1494,617,0.46,84.13
1495,616,0.46,84.12
1496,615,0.46,84.10
1497,614,0.45,84.09
1498,613,0.45,84.07
1499,612,0.45,84.06
1500,611,0.45,84.04
1501,610,0.45,84.03
1502,609,0.45,84.01
1503,768,0.64,84.00
1504,766,0.64,83.98
1505,764,0.64,83.97
1506,762,0.64,83.95
1507,760,0.63,83.94
1508,758,0.63,83.92
1509,756,0.63,83.91
1510,754,0.63,83.89
1511,752,0.63,83.88
1512,750,0.63,83.86
1513,748,0.62,83.85
1514,746,0.62,83.83
1515,744,0.62,83.82
1516,742,0.62,83.80
1517,740,0.62,83.79
1518,738,0.62,83.77
1519,736,0.61,83.76
1520,734,0.61,83.74
1521,732,0.61,83.73
1522,730,0.61,83.71
1523,728,0.61,83.70
1524,726,0.61,83.68
1525,724,0.60,83.67
1526,722,0.60,83.65
1527,720,0.60,83.64
1528,718,0.60,83.62
1529,716,0.60,83.61
1530,714,0.60,83.59
1531,712,0.59,83.58
1532,710,0.59,83.56
1533,708,0.59,83.55
1534,706,0.59,83.53
1535,704,0.59,83.52
1536,702,0.59,83.50
1537,700,0.58,83.49
1538,698,0.58,83.47
1539,696,0.58,83.46
1540,694,0.58,83.44
1541,692,0.58,83.43
1542,690,0.58,83.41
1543,688,0.57,83.40
1544,686,0.57,83.38
1545,684,0.57,83.37
1546,682,0.57,83.35
1547,680,0.57,83.34
1548,678,0.57,83.32
1549,676,0.56,83.31
1550,674,0.56,83.29
1551,672,0.56,83.28
1552,670,0.56,83.26
1553,668,0.56,83.25
1554,666,0.56,83.23
1555,664,0.55,83.22
1556,662,0.55,83.20
1557,660,0.55,83.19
1558,658,0.55,83.17
1559,656,0.55,83.16
1560,654,0.55,83.14
1561,652,0.54,83.13
1562,650,0.54,83.11
1563,648,0.54,83.10
1564,646,0.54,83.08
1565,644,0.54,83.07
1566,642,0.54,83.05
1567,640,0.53,83.04
1568,638,0.53,83.02
1569,636,0.53,83.01
1570,634,0.53,82.99
1571,632,0.53,82.98
1572,630,0.53,82.96
1573,628,0.52,82.95
1574,626,0.52,82.93
1575,624,0.52,82.92
1576,622,0.52,82.90
1577,620,0.52,82.89
1578,618,0.52,82.87
1579,616,0.51,82.86
1580,614,0.51,82.84
1581,612,0.51,82.83
1582,610,0.51,82.81
1583,608,0.51,82.80
1584,606,0.51,82.78
1585,604,0.50,82.77
1586,602,0.50,82.75
1587,600,0.50,82.74
1588,598,0.50,82.72
1589,596,0.50,82.71
1590,594,0.50,82.69
1591,592,0.49,82.68
1592,590,0.49,82.66
1593,588,0.49,82.65
1594,586,0.49,82.63
1595,581,0.48,82.62
1596,576,0.48,82.60
1597,571,0.48,82.59
1598,566,0.47,82.57
1599,561,0.47,82.56
1600,556,0.46,82.54
1601,551,0.46,82.53
1602,546,0.46,82.51
1603,642,0.64,82.50
1604,640,0.64,82.48
1605,638,0.64,82.47
1606,636,0.64,82.45
1607,634,0.63,82.44
1608,632,0.63,82.42
1609,630,0.63,82.41
1610,628,0.63,82.39
1611,626,0.63,82.38
1612,624,0.62,82.36
1613,622,0.62,82.35
1614,620,0.62,82.33
1615,618,0.62,82.32
1616,616,0.62,82.30
1617,614,0.61,82.29
1618,612,0.61,82.27
1619,610,0.61,82.26
1620,608,0.61,82.24
1621,606,0.61,82.23
1622,604,0.60,82.21
1623,602,0.60,82.20
1624,600,0.60,82.18
1625,598,0.60,82.17
1626,596,0.60,82.15
1627,594,0.59,82.14
1628,592,0.59,82.12
1629,590,0.59,82.11
1630,588,0.59,82.09
1631,586,0.59,82.08
1632,584,0.58,82.06
1633,582,0.58,82.05
1634,580,0.58,82.03
1635,578,0.58,82.02
1636,576,0.58,82.00
1637,574,0.57,81.99
1638,572,0.57,81.97
1639,570,0.57,81.96
1640,568,0.57,81.94
1641,566,0.57,81.93
1642,564,0.56,81.91
1643,562,0.56,81.90
1644,560,0.56,81.88
1645,558,0.56,81.87
1646,556,0.56,81.85
1647,554,0.55,81.84
1648,552,0.55,81.82
1649,550,0.55,81.81
1650,548,0.55,81.79
1651,546,0.55,81.78
1652,544,0.54,81.76
1653,542,0.54,81.75
1654,540,0.54,81.73
1655,538,0.54,81.72
1656,536,0.54,81.70
1657,534,0.53,81.69
1658,532,0.53,81.67
1659,530,0.53,81.66
1660,528,0.53,81.64
1661,526,0.53,81.63
1662,524,0.52,81.61
1663,522,0.52,81.60
1664,520,0.52,81.58
1665,518,0.52,81.57
1666,516,0.52,81.55
1667,514,0.51,81.54
1668,512,0.51,81.52
1669,510,0.51,81.51
1670,508,0.51,81.49
1671,506,0.51,81.48
1672,504,0.50,81.46
1673,502,0.50,81.45
1674,500,0.50,81.43
1675,498,0.50,81.42
1676,496,0.50,81.40
1677,494,0.49,81.39
1678,492,0.49,81.37
1679,490,0.49,81.36
1680,488,0.49,81.34
1681,486,0.49,81.33
1682,484,0.48,81.31
1683,482,0.48,81.30
1684,480,0.48,81.28
1685,478,0.48,81.27
1686,476,0.48,81.25
1687,474,0.47,81.24
1688,472,0.47,81.22
1689,470,0.47,81.21
1690,468,0.47,81.19
1691,466,0.47,81.18
1692,464,0.46,81.16
1693,462,0.46,81.15
1694,460,0.46,81.13
1695,458,0.46,81.12
1696,456,0.46,81.10
1697,454,0.45,81.09
1698,452,0.45,81.07
1699,450,0.45,81.06
1700,448,0.45,81.04
1701,446,0.45,81.03
1702,445,0.45,81.01
1703,1575,0.45,81.00
1704,1581,0.45,80.98
1705,1587,0.45,80.97
1706,1593,0.46,80.95
1707,1599,0.46,80.94
1708,1605,0.46,80.92
1709,1611,0.46,80.91
1710,1617,0.46,80.89
1711,1623,0.46,80.88
1712,1629,0.47,80.86
1713,1635,0.47,80.85
1714,1641,0.47,80.83
1715,1647,0.47,80.82
1716,1653,0.47,80.80
1717,1659,0.47,80.79
1718,1665,0.48,80.77
1719,1671,0.48,80.76
1720,1677,0.48,80.74
1721,1683,0.48,80.73
1722,1689,0.48,80.71
1723,1695,0.48,80.70
1724,1701,0.49,80.68
1725,1707,0.49,80.67
1726,1713,0.49,80.65
1727,1719,0.49,80.64
1728,1725,0.49,80.62
1729,1731,0.49,80.61
1730,1737,0.50,80.59
1731,1743,0.50,80.58
1732,1749,0.50,80.56
1733,1755,0.50,80.55
1734,1761,0.50,80.53
1735,1767,0.50,80.52
1736,1773,0.51,80.50
1737,1779,0.51,80.49
1738,1785,0.51,80.47
1739,1791,0.51,80.46
1740,1797,0.51,80.44
1741,1803,0.52,80.43
1742,1809,0.52,80.41
1743,1815,0.52,80.40
1744,1821,0.52,80.38
1745,1827,0.52,80.37
1746,1833,0.52,80.35
1747,1839,0.53,80.34
1748,1845,0.53,80.32
1749,1851,0.53,80.31
1750,1857,0.53,80.29
1751,1863,0.53,80.28
1752,1869,0.53,80.26
1753,1875,0.54,80.25
1754,1881,0.54,80.23
1755,1887,0.54,80.22
1756,1893,0.54,80.20
1757,1899,0.54,80.19
1758,1905,0.54,80.17
1759,1911,0.55,80.16
1760,1917,0.55,80.14
1761,1923,0.55,80.13
1762,1929,0.55,80.11
1763,1935,0.55,80.10
1764,1941,0.55,80.08
1765,1947,0.56,80.07
1766,1953,0.56,80.05
1767,1959,0.56,80.04
1768,1965,0.56,80.02
1769,1971,0.56,80.01
1770,1977,0.56,79.99
1771,1983,0.57,79.98
1772,1989,0.57,79.96
1773,1995,0.57,79.95
1774,2001,0.57,79.93
1775,2007,0.57,79.92
1776,2013,0.58,79.90
1777,2019,0.58,79.89
1778,2025,0.58,79.87
1779,2031,0.58,79.86
1780,2037,0.58,79.84
1781,2043,0.58,79.83
1782,2049,0.59,79.81
1783,2055,0.59,79.80
1784,2061,0.59,79.78
1785,2067,0.59,79.77
1786,2073,0.59,79.75
1787,2079,0.59,79.74
1788,2085,0.60,79.72
1789,2091,0.60,79.71
1790,2097,0.60,79.69
1791,2110,0.60,79.68
1792,2120,0.61,79.66
1793,2130,0.61,79.65
1794,2140,0.61,79.63
1795,2150,0.61,79.62
1796,2160,0.62,79.60
1797,2170,0.62,79.59
1798,2180,0.62,79.57
1799,2190,0.63,79.56
1800,2200,0.63,79.54
1801,2210,0.63,79.53
1802,2220,0.63,79.51
1803,2080,0.69,79.50
1804,2074,0.64,79.48
1805,2068,0.64,79.47
1806,2062,0.63,79.45
1807,2056,0.63,79.44
1808,2050,0.63,79.42
1809,2044,0.63,79.41
1810,2038,0.63,79.39
1811,2032,0.63,79.38
1812,2026,0.62,79.36
1813,2020,0.62,79.35
1814,2014,0.62,79.33
1815,2008,0.62,79.32
1816,2002,0.62,79.30
1817,1996,0.61,79.29
1818,1990,0.61,79.27
1819,1984,0.61,79.26
1820,1978,0.61,79.24
1821,1972,0.61,79.23
1822,1966,0.60,79.21
1823,1960,0.60,79.20
1824,1954,0.60,79.18
1825,1948,0.60,79.17
1826,1942,0.60,79.15
1827,1936,0.60,79.14
1828,1930,0.59,79.12
1829,1924,0.59,79.11
1830,1918,0.59,79.09
1831,1912,0.59,79.08
1832,1906,0.59,79.06
1833,1900,0.58,79.05
1834,1894,0.58,79.03
1835,1888,0.58,79.02
1836,1882,0.58,79.00
1837,1876,0.58,78.99
1838,1870,0.58,78.97
1839,1864,0.57,78.96
1840,1858,0.57,78.94
1841,1852,0.57,78.93
1842,1846,0.57,78.91
1843,1840,0.57,78.90
1844,1834,0.56,78.88
1845,1828,0.56,78.87
1846,1822,0.56,78.85
1847,1816,0.56,78.84
1848,1810,0.56,78.82
1849,1804,0.56,78.81
1850,1798,0.55,78.79
1851,1792,0.55,78.78
1852,1786,0.55,78.76
1853,1780,0.55,78.75
1854,1774,0.55,78.73
1855,1768,0.54,78.72
1856,1762,0.54,78.70
1857,1756,0.54,78.69
1858,1750,0.54,78.67
1859,1744,0.54,78.66
1860,1738,0.53,78.64
1861,1732,0.53,78.63
1862,1726,0.53,78.61
1863,1720,0.53,78.60
1864,1714,0.53,78.58
1865,1708,0.53,78.57
1866,1702,0.52,78.55
1867,1696,0.52,78.54
1868,1690,0.52,78.52
1869,1684,0.52,78.51
1870,1678,0.52,78.49
1871,1672,0.51,78.48
1872,1666,0.51,78.46
1873,1660,0.51,78.45
1874,1654,0.51,78.43
1875,1648,0.51,78.42
1876,1642,0.51,78.40
1877,1636,0.50,78.39
1878,1630,0.50,78.37
1879,1624,0.50,78.36
1880,1618,0.50,78.34
1881,1612,0.50,78.33
1882,1606,0.49,78.31
1883,1600,0.49,78.30
1884,1594,0.49,78.28
1885,1588,0.49,78.27
1886,1582,0.49,78.25
1887,1576,0.48,78.24
1888,1570,0.48,78.22
1889,1564,0.48,78.21
1890,1558,0.48,78.19
1891,1552,0.48,78.18
1892,1546,0.48,78.16
1893,1540,0.47,78.15
1894,1534,0.47,78.13
1895,1528,0.47,78.12
1896,1522,0.47,78.10
1897,1516,0.47,78.09
1898,1510,0.46,78.07
1899,1504,0.46,78.06
1900,1498,0.46,78.04
1901,1492,0.46,78.03
1902,1486,0.46,78.01
1903,1920,0.64,78.00
1904,1910,0.64,77.98
1905,1894,0.63,77.97
1906,1888,0.63,77.95
1907,1882,0.63,77.94
1908,1876,0.63,77.92
1909,1870,0.62,77.91
1910,1864,0.62,77.89
1911,1858,0.62,77.88
1912,1852,0.62,77.86
1913,1846,0.62,77.85
1914,1840,0.61,77.83
1915,1834,0.61,77.82
1916,1828,0.61,77.80
1917,1822,0.61,77.79
1918,1816,0.61,77.77
1919,1810,0.60,77.76
1920,1804,0.60,77.74
1921,1798,0.60,77.73
1922,1792,0.60,77.71
1923,1786,0.60,77.70
1924,1780,0.59,77.68
1925,1774,0.59,77.67
1926,1768,0.59,77.65
1927,1762,0.59,77.64
1928,1756,0.59,77.62
1929,1750,0.58,77.61
1930,1744,0.58,77.59
1931,1738,0.58,77.58
1932,1732,0.58,77.56
1933,1726,0.58,77.55
1934,1720,0.57,77.53
1935,1714,0.57,77.52
1936,1708,0.57,77.50
1937,1702,0.57,77.49
1938,1696,0.57,77.47
1939,1690,0.56,77.46
1940,1684,0.56,77.44
1941,1678,0.56,77.43
1942,1672,0.56,77.41
1943,1666,0.56,77.40
1944,1660,0.55,77.38
1945,1654,0.55,77.37
1946,1648,0.55,77.35
1947,1642,0.55,77.34
1948,1636,0.55,77.32
1949,1630,0.54,77.31
1950,1624,0.54,77.29
1951,1618,0.54,77.28
1952,1612,0.54,77.26
1953,1606,0.54,77.25
1954,1600,0.53,77.23
1955,1594,0.53,77.22
1956,1588,0.53,77.20
1957,1582,0.53,77.19
1958,1576,0.53,77.17
1959,1570,0.52,77.16
1960,1564,0.52,77.14
1961,1558,0.52,77.13
1962,1552,0.52,77.11
1963,1546,0.52,77.10
1964,1540,0.51,77.08
1965,1534,0.51,77.07
1966,1528,0.51,77.05
1967,1522,0.51,77.04
1968,1516,0.51,77.02
1969,1510,0.50,77.01
1970,1504,0.50,76.99
1971,1498,0.50,76.98
1972,1492,0.50,76.96
1973,1486,0.50,76.95
1974,1480,0.49,76.93
1975,1474,0.49,76.92
1976,1468,0.49,76.90
1977,1462,0.49,76.89
1978,1456,0.49,76.87
1979,1450,0.48,76.86
1980,1444,0.48,76.84
1981,1438,0.48,76.83
1982,1432,0.48,76.81
1983,1426,0.48,76.80
1984,1420,0.47,76.78
1985,1414,0.47,76.77
1986,1408,0.47,76.75
1987,1402,0.47,76.74
1988,1396,0.47,76.72
1989,1390,0.46,76.71
1990,1384,0.46,76.69
1991,1378,0.46,76.68
1992,1372,0.46,76.66
1993,1366,0.46,76.65
1994,1360,0.45,76.63
1995,1354,0.45,76.62
1996,1348,0.45,76.60
1997,1920,0.64,76.59
1998,1918,0.64,76.57
1999,1916,0.64,76.56
2000,1914,0.64,76.54
2001,1912,0.64,76.53
2002,1910,0.64,76.51
2003,1865,0.64,76.50
2004,1860,0.64,76.48
2005,1855,0.64,76.47
2006,1850,0.64,76.45
2007,1845,0.64,76.44
2008,1840,0.63,76.42
2009,1835,0.63,76.41
2010,1830,0.63,76.39
2011,1825,0.63,76.38
2012,1820,0.63,76.36
2013,1815,0.63,76.35
2014,1810,0.62,76.33
2015,1805,0.62,76.32
2016,1800,0.62,76.30
2017,1795,0.62,76.29
2018,1790,0.62,76.27
2019,1785,0.62,76.26
2020,1780,0.61,76.24
2021,1775,0.61,76.23
2022,1770,0.61,76.21
2023,1765,0.61,76.20
2024,1760,0.61,76.18
2025,1755,0.61,76.17
2026,1750,0.60,76.15
2027,1745,0.60,76.14
2028,1740,0.60,76.12
2029,1735,0.60,76.11
2030,1730,0.60,76.09
2031,1725,0.59,76.08
2032,1720,0.59,76.06
2033,1715,0.59,76.05
2034,1710,0.59,76.03
2035,1705,0.59,76.02
2036,1700,0.59,76.00
2037,1695,0.58,75.99
2038,1690,0.58,75.97
2039,1685,0.58,75.96
2040,1680,0.58,75.94
2041,1675,0.58,75.93
2042,1670,0.58,75.91
2043,1665,0.57,75.90
2044,1660,0.57,75.88
2045,1655,0.57,75.87
2046,1650,0.57,75.85
2047,1645,0.57,75.84
2048,1640,0.57,75.82
2049,1635,0.56,75.81
2050,1630,0.56,75.79
2051,1625,0.56,75.78
2052,1620,0.56,75.76
2053,1615,0.56,75.75
2054,1610,0.56,75.73
2055,1605,0.55,75.72
2056,1600,0.55,75.70
2057,1595,0.55,75.69
2058,1590,0.55,75.67
2059,1585,0.55,75.66
2060,1580,0.54,75.64
2061,1575,0.54,75.63
2062,1570,0.54,75.61
2063,1565,0.54,75.60
2064,1560,0.54,75.58
2065,1555,0.54,75.57
2066,1550,0.53,75.55
2067,1545,0.53,75.54
2068,1540,0.53,75.52
2069,1535,0.53,75.51
2070,1530,0.53,75.49
2071,1525,0.53,75.48
2072,1520,0.52,75.46
2073,1515,0.52,75.45
2074,1510,0.52,75.43
2075,1505,0.52,75.42
2076,1500,0.52,75.40
2077,1495,0.52,75.39
2078,1490,0.51,75.37
2079,1485,0.51,75.36
2080,1480,0.51,75.34
2081,1475,0.51,75.33
2082,1470,0.51,75.31
2083,1465,0.51,75.30
2084,1460,0.50,75.28
2085,1455,0.50,75.27
2086,1447,0.50,75.25
2087,1439,0.50,75.24
2088,1431,0.49,75.22
2089,1423,0.49,75.21
2090,1415,0.49,75.19
2091,1407,0.49,75.18
2092,1399,0.48,75.16
2093,1391,0.48,75.15
2094,1383,0.48,75.13
2095,1375,0.47,75.12
2096,1367,0.47,75.10
2097,1359,0.47,75.09
2098,1351,0.47,75.07
2099,1343,0.46,75.06
2100,1335,0.46,75.04
2101,1327,0.46,75.03
2102,1319,0.45,75.01
2103,1311,0.45,75.00
2104,2393,0.87,60.00
2105,2387,0.87,60.02
2106,2381,0.87,60.03
2107,2375,0.86,60.05
2108,2369,0.86,60.06
2109,2363,0.86,60.08
2110,2357,0.86,60.09
2111,2351,0.85,60.11
2112,2345,0.85,60.12
2113,2339,0.85,60.14
2114,2333,0.85,60.15
2115,2327,0.85,60.17
2116,2321,0.84,60.18
2117,2315,0.84,60.20
2118,2309,0.84,60.21
2119,2303,0.84,60.23
2120,2297,0.84,60.24
2121,2291,0.83,60.26
2122,2285,0.83,60.27
2123,2279,0.83,60.29
2124,2273,0.83,60.30
2125,2267,0.82,60.32
2126,2261,0.82,60.33
2127,2255,0.82,60.35
2128,2249,0.82,60.36
2129,2243,0.82,60.38
2130,2237,0.81,60.39
2131,2231,0.81,60.41
2132,2225,0.81,60.42
2133,2219,0.81,60.44
2134,2213,0.80,60.45
2135,2207,0.80,60.47
2136,2201,0.80,60.48
2137,2195,0.80,60.50
2138,2189,0.80,60.51
2139,2183,0.79,60.53
2140,2177,0.79,60.54
2141,2171,0.79,60.56
2142,2165,0.79,60.57
2143,2159,0.79,60.59
2144,2153,0.78,60.60
2145,2147,0.78,60.62
2146,2141,0.78,60.63
2147,2135,0.78,60.65
2148,2129,0.77,60.66
2149,2123,0.77,60.68
2150,2117,0.77,60.69
2151,2111,0.77,60.71
2152,2105,0.77,60.72
2153,2099,0.76,60.74
2154,2093,0.76,60.75
2155,2087,0.76,60.77
2156,2081,0.76,60.78
2157,2075,0.75,60.80
2158,2069,0.75,60.81
2159,2063,0.75,60.83
2160,2057,0.75,60.84
2161,2051,0.75,60.86
2162,2045,0.74,60.87
2163,2039,0.74,60.89
2164,2033,0.74,60.90
2165,2027,0.74,60.92
2166,2021,0.73,60.93
2167,2015,0.73,60.95
2168,2009,0.73,60.96
2169,2003,0.73,60.98
2170,1997,0.73,60.99
2171,1991,0.72,61.01
